Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
131066326987,SP Kanton Zürich,SP Kanton Zürich,37318,45
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,31849,99
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,21369,93
102662476058956,Hans-Peter Amrein in den Regierungsrat,Hans-Peter Amrein in den Regierungsrat,20986,30
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,17296,98
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,16729,179
169510248558,Die Mitte - Le Centre,Die Mitte,15850,33
202006389857644,Grünliberale Kanton Zürich,Grünliberale Partei Zürich,11751,137
126256997433456,SP Baselland,SP Baselland,10948,14
970401509667271,Priska Seiler Graf - Nationalrätin,Priska Seiler Graf in den Regierungsrat,10902,59
154212901272905,FDP.Die Liberalen Baselland,FDP.Die Liberalen Baselland,10759,220
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,7444,40
1903129656584980,SP Uster,SP Uster,7356,25
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,6714,96
1959919117421939,FDP.Die Liberalen Bezirk Bülach,FDP.Die Liberalen Bezirk Bülach,6321,12
108392832120312,Perspektive Zürich,Perspektive Zürich,5961,46
450602808776880,Martin Neukom,Martin Neukom,5679,20
610098352377102,Christian Pfaller,Komitee Christian Pfaller,5651,65
106241572361769,Carmen Walker Späh FDP,Carmen Walker Späh,5013,18
583706025047684,Pierre Rappazzo in den Zürcher Kantonsrat,Pierre Rappazzo,4507,6
224581297586778,Gewerkschaftsbund des Kantons Zürich,Gewerkschaftsbund des Kantons Zürich,4467,15
705478906236710,FDP.Die Liberalen Bezirk Uster,FDP.Die Liberalen Bezirk Uster,4213,9
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,3977,29
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,3936,18
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,3909,56
82752099000,Alternative Liste ZH,Alternative Liste Zürich,3697,86
260591187302640,Parti socialiste genevois,Parti socialiste genevois,3557,30
100195119489766,Benno Scherrer in den Regierungsrat,Benno Scherrer,3513,6
428690117258417,SVP des Kantons Zürich,SVP des Kantons Zürich,3432,20
103082059271118,SP Bezirk Hinwil,SP Wetzikon,3378,50
97220294896,SP Schweiz,SP Schweiz,3076,4
109469528675603,Philipp Egger,Philipp Egger,2869,24
324773857561365,Die Mitte Kanton Zürich,Die Mitte Kanton Zürich,2803,20
161852057173460,SP Bezirk Affoltern,SP Bezirk Affoltern,2657,32
191136321464981,Die Mitte Stadt Winterthur,Die Mitte Stadt Winterthur,2651,13
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,2636,48
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,2590,83
317591871730585,SVP Bezirk Meilen,Marc Michel Wachter,2500,3
106020715591381,"Thomi Jourdan - Regierungsratskandidat Baselland - ""fürs Baselbiet vo morn""",Thomi Jourdan in den Regierungsrat,2477,28
113035494739725,Simon Vlk,Simon Vlk,2472,5
187828241245131,Grüne Baselland,Grüne Baselland,2419,48
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,2247,59
600706570124933,Verkehrssanierungen JA,Verkehrssanierungen JA,2016,20
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,1909,20
1722137767860098,Grüne Bülach,Grüne Bülach,1888,57
108206818777404,Bezirksgewerbeverband Bülach,Bezirksgewerbeverband Bülach,1887,26
117027101705789,FDP Stadt Zürich,FDP Stadt Zürich,1886,15
109213507316253,SP Zürich 11,SP Zürich,1851,25
259871484198551,Thomas Matter,Thomas Matter,1815,10
119245155521044,Ylli Doko - Politiker - FDP Die.Liberalen,Ylli Doko,1804,11
231086633606227,SVP Baselland,SVP Baselland,1686,395
103440272521713,Sarah Fuchs in den Kantonsrat,Sarah Fuchs,1667,28
194790813901953,Grüne Schweiz,Grüne Schweiz,1567,7
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,1449,14
105257442419923,Die Mitte Bezirk Bülach,Die Mitte Bezirk Bülach,1371,15
200825306651250,Renato Pfeffer EVP,EVP Kanton Zürich,1356,14
1769803096579445,Grünliberale Bezirk Horgen,Grünliberale Bezirk Horgen,1325,10
155659847849677,Martin Huber in den Kantonsrat,Martin Huber in den Kantonsrat,1305,7
375845269120737,FDP. Die Liberalen Dietikon,FDP. Die Liberalen Dietikon,1247,16
106254955524910,SVP Binningen,SVP Binningen,1217,3
1534982756793690,Foodvisor,These ads ran without a disclaimer,1215,4
231320586878427,Hauseigentümerverband (HEV) Region Winterthur,Hauseigentümerverband Region Winterthur,1198,2
113326388690102,SP Zürich 1 und 2,SP Zürich 1+2,1188,2
921336971288655,Nagra,Nagra,1133,5
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,1122,4
101669982579717,Die Mitte Bezirk Uster,Die Mitte Bezirk Uster,1111,9
110151814882388,Benjamin Gautschi,Benjamin Gautschi,1098,8
1700824713324064,SP Zürich 10,SP Zürich 10,1087,19
109123788743774,Benjamin Frei,Benjamin Rolf Frei,1085,10
1476717905682561,SP Zürich 6,SP Zürich 6,1068,21
469738339721305,SP Zürich 3,Sozialdemokratische Partei Zürich 3,1057,24
388815591176119,SP Zürich 9,SP Zürich,1057,25
108351771294208,Hubert Boog,Hubert Walter Boog,1055,5
102691421255810,PlanBasel,PlanBasel,1043,3
156831187737967,JUSO Kanton Zürich,Jungsozialist*innen Kanton Zürich,1039,13
100489412910247,Nora Ernst - GLP,Nora Ernst - GLP,1015,7
1582348792001263,SP 4&5 Zürich,SP Zürich 4 & 5,1013,17
291359247729208,PS Suisse,PS Suisse,1000,2
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,997,17
109742838576665,Sandro Gerber - FDP.Die Liberalen - Kantonsratskandidat ZH 2023,sandrogerber,993,40
110409811924321,Urs Christian Eugster FDP,Urs Christian Eugster,979,3
207703323162140,"Doris Meier, Kantonsrätin und a. Gemeindepräsidentin von Bassersdorf",Doris Meier-Kobler,977,6
1556534881244272,Grünliberale Bezirk Uster,Grünliberale Bezirk Uster,965,20
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,954,4
106264082355003,Sven Heinzelmann,Komitee «Sven Heinzelmann in den Kantonsrat»,953,13
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,939,5
1464661227009326,SVP Bezirk Uster,SVP Bezirk Uster,936,18
1483343695307824,Campax,Campax,913,15
100432824661437,Bettina Balmer FDP,Bettina Balmer,905,9
105858378539790,FDP Wädenswil,FDP Wädenswil,865,1
102408406000910,Bürgerliche Allianz,Berchtold Marketing GmbH,836,7
131136176944674,FDP.Die Liberalen Bezirk Pfäffikon,FDP.Die Liberalen Bezirk Pfäffikon,829,29
2034886056799460,Raphael Tobler,Raphael Tobler,817,9
110547838607111,NON IN 179,FER Genève - Fédération des Entreprises Romandes Genève,795,8
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,793,3
1764183190338571,SVP Kreis 3,Derek Richter,785,13
354548604968651,Peter Metzinger in den Kantonsrat,Peter Alois Metzinger,778,14
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,773,12
488909884546537,GLP Winterthur Land,GLP Winterthur Land,772,18
