Page ID,Page name,Disclaimer,Amount spent (CHF)
131066326987,SP Kanton Zürich,SP Kanton Zürich,37317
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,29658
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,21276
102662476058956,Hans-Peter Amrein in den Regierungsrat,Hans-Peter Amrein in den Regierungsrat,20986
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,17204
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,16631
202006389857644,Grünliberale Kanton Zürich,Grünliberale Partei Zürich,11751
970401509667271,Priska Seiler Graf - Nationalrätin,Priska Seiler Graf in den Regierungsrat,10902
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,7443
1903129656584980,SP Uster,SP Uster,7280
1959919117421939,FDP.Die Liberalen Bezirk Bülach,FDP.Die Liberalen Bezirk Bülach,6319
450602808776880,Martin Neukom,Martin Neukom,5679
610098352377102,Christian Pfaller,Komitee Christian Pfaller,5639
108392832120312,Perspektive Zürich,Perspektive Zürich,5188
106241572361769,Carmen Walker Späh FDP,Carmen Walker Späh,5013
224581297586778,Gewerkschaftsbund des Kantons Zürich,Gewerkschaftsbund des Kantons Zürich,4467
583706025047684,Pierre Rappazzo in den Zürcher Kantonsrat,Pierre Rappazzo,4438
705478906236710,FDP.Die Liberalen Bezirk Uster,FDP.Die Liberalen Bezirk Uster,4107
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,3932
100195119489766,Benno Scherrer in den Regierungsrat,Benno Scherrer,3513
428690117258417,SVP des Kantons Zürich,SVP des Kantons Zürich,3417
82752099000,Alternative Liste ZH,Alternative Liste Zürich,3378
169510248558,Die Mitte - Le Centre,Die Mitte,3305
103082059271118,SP Bezirk Hinwil,SP Wetzikon,3233
324773857561365,Die Mitte Kanton Zürich,Die Mitte Kanton Zürich,2803
161852057173460,SP Bezirk Affoltern,SP Bezirk Affoltern,2657
191136321464981,Die Mitte Stadt Winterthur,Die Mitte Stadt Winterthur,2485
113035494739725,Simon Vlk,Simon Vlk,2472
317591871730585,SVP Bezirk Meilen,Marc Michel Wachter,2034
117027101705789,FDP Stadt Zürich,FDP Stadt Zürich,1885
1722137767860098,Grüne Bülach,Grüne Bülach,1884
108206818777404,Bezirksgewerbeverband Bülach,Bezirksgewerbeverband Bülach,1884
