ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
945721126803089,102662476058956,"Hans-Peter Amrein in den Regierungsrat",2023-01-24,2023-01-24,2023-02-01,"Hans-Peter Amrein in den Regierungsrat","Die Verwaltung wächst ungebremst. Ineffizienz ist hoch. Die Digitalisierung kann von Routinearbeiten entlasten. Wählen Sie Hans-Peter Amrein in den Regierungsrat. Er setzt sich für eine beschleunigte Digitalisierung und eine schlankere Verwaltung ein. #Regierungsrat #WahlenZH23",,,,"lower_bound: 4000, upper_bound: 4999","lower_bound: 100, upper_bound: 199",CHF,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000431},{""age"":""25-34"",""gender"":""male"",""percentage"":0.140578},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002587},{""age"":""35-44"",""gender"":""female"",""percentage"":0.04226},{""age"":""18-24"",""gender"":""female"",""percentage"":0.069426},{""age"":""25-34"",""gender"":""female"",""percentage"":0.057784},{""age"":""65+"",""gender"":""female"",""percentage"":0.041397},{""age"":""35-44"",""gender"":""male"",""percentage"":0.090556},{""age"":""45-54"",""gender"":""male"",""percentage"":0.098318},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001294},{""age"":""55-64"",""gender"":""female"",""percentage"":0.044847},{""age"":""18-24"",""gender"":""male"",""percentage"":0.188875},{""age"":""65+"",""gender"":""male"",""percentage"":0.090556},{""age"":""55-64"",""gender"":""male"",""percentage"":0.0884},{""age"":""45-54"",""gender"":""female"",""percentage"":0.037516},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00345},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001725}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",de
516751363772192,102662476058956,"Hans-Peter Amrein in den Regierungsrat",2023-01-24,2023-01-24,2023-02-01,"Hans-Peter Amrein in den Regierungsrat","Die Verwaltung wächst ungebremst. Ineffizienz ist hoch. Die Digitalisierung kann von Routinearbeiten entlasten. Wählen Sie Hans-Peter Amrein in den Regierungsrat. Er setzt sich für eine beschleunigte Digitalisierung und eine schlankere Verwaltung ein. #Regierungsrat #WahlenZH23",,,,"lower_bound: 7000, upper_bound: 7999","lower_bound: 300, upper_bound: 399",CHF,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00054},{""age"":""55-64"",""gender"":""male"",""percentage"":0.076902},{""age"":""45-54"",""gender"":""female"",""percentage"":0.035618},{""age"":""65+"",""gender"":""female"",""percentage"":0.043983},{""age"":""35-44"",""gender"":""female"",""percentage"":0.042634},{""age"":""65+"",""gender"":""male"",""percentage"":0.072045},{""age"":""25-34"",""gender"":""male"",""percentage"":0.131948},{""age"":""18-24"",""gender"":""female"",""percentage"":0.083378},{""age"":""18-24"",""gender"":""male"",""percentage"":0.212089},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.003238},{""age"":""45-54"",""gender"":""male"",""percentage"":0.078251},{""age"":""35-44"",""gender"":""male"",""percentage"":0.08122},{""age"":""55-64"",""gender"":""female"",""percentage"":0.043443},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002428},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001079},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001889},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00027},{""age"":""25-34"",""gender"":""female"",""percentage"":0.089045}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",de
1405929123550411,102662476058956,"Hans-Peter Amrein in den Regierungsrat",2023-01-22,2023-01-22,2023-01-30,"Hans-Peter Amrein in den Regierungsrat","Die Gesundheitskosten sind für den Mittelstand kaum noch tragbar. Pro Familie können allein die Krankkassenprämien 12'000.- pro Jahr verschlingen. Wählen Sie Hans-Peter Amrein in den Regierungsrat! Er will die Gesundheitskosten deckeln! #Regierungsrat #WahlenZH23",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 500, upper_bound: 599",CHF,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000797},{""age"":""35-44"",""gender"":""male"",""percentage"":0.09475},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001708},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000911},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00205},{""age"":""18-24"",""gender"":""male"",""percentage"":0.107846},{""age"":""65+"",""gender"":""female"",""percentage"":0.087234},{""age"":""25-34"",""gender"":""female"",""percentage"":0.06366},{""age"":""35-44"",""gender"":""female"",""percentage"":0.057169},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000569},{""age"":""45-54"",""gender"":""female"",""percentage"":0.066963},{""age"":""55-64"",""gender"":""male"",""percentage"":0.104544},{""age"":""18-24"",""gender"":""female"",""percentage"":0.052386},{""age"":""45-54"",""gender"":""male"",""percentage"":0.101355},{""age"":""55-64"",""gender"":""female"",""percentage"":0.068671},{""age"":""65+"",""gender"":""male"",""percentage"":0.088714},{""age"":""25-34"",""gender"":""male"",""percentage"":0.098394},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002278}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",de
1344154036374851,102662476058956,"Hans-Peter Amrein in den Regierungsrat",2023-01-22,2023-01-22,2023-01-26,"Hans-Peter Amrein in den Regierungsrat","Die Gesundheitskosten sind für den Mittelstand kaum noch tragbar. Pro Familie können allein die Krankkassenprämien 12'000.- pro Jahr verschlingen. Wählen Sie Hans-Peter Amrein in den Regierungsrat! Er will die Gesundheitskosten deckeln! #Regierungsrat #WahlenZH23",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 300, upper_bound: 399",CHF,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000971},{""age"":""35-44"",""gender"":""female"",""percentage"":0.080745},{""age"":""25-34"",""gender"":""female"",""percentage"":0.056742},{""age"":""25-34"",""gender"":""male"",""percentage"":0.065125},{""age"":""18-24"",""gender"":""male"",""percentage"":0.069361},{""age"":""45-54"",""gender"":""male"",""percentage"":0.083657},{""age"":""55-64"",""gender"":""female"",""percentage"":0.109689},{""age"":""45-54"",""gender"":""female"",""percentage"":0.092128},{""age"":""65+"",""gender"":""male"",""percentage"":0.100071},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001059},{""age"":""35-44"",""gender"":""male"",""percentage"":0.07342},{""age"":""65+"",""gender"":""female"",""percentage"":0.131574},{""age"":""55-64"",""gender"":""male"",""percentage"":0.099012},{""age"":""18-24"",""gender"":""female"",""percentage"":0.031415},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000971},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001853},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001412},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000794}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",de
3390130004591704,102662476058956,"Hans-Peter Amrein in den Regierungsrat",2023-01-21,2023-01-22,2023-01-26,"Hans-Peter Amrein in den Regierungsrat","Die Verwaltung im Kanton Zürich wächst schneller als die Bevölkerung! Die Kosten dafür müssen die Steuerzahler tragen. Als Regierungsrat setzt sich Hans-Peter Amrein für eine schlankere Verwaltung ein. #Regierungsrat #WahlenZH23",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 400, upper_bound: 499",CHF,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000701},{""age"":""45-54"",""gender"":""female"",""percentage"":0.105569},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002242},{""age"":""55-64"",""gender"":""female"",""percentage"":0.078109},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001401},{""age"":""45-54"",""gender"":""male"",""percentage"":0.14648},{""age"":""55-64"",""gender"":""male"",""percentage"":0.08021},{""age"":""35-44"",""gender"":""male"",""percentage"":0.184308},{""age"":""25-34"",""gender"":""male"",""percentage"":0.109772},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000771},{""age"":""65+"",""gender"":""male"",""percentage"":0.034046},{""age"":""18-24"",""gender"":""female"",""percentage"":0.009457},{""age"":""25-34"",""gender"":""female"",""percentage"":0.069142},{""age"":""65+"",""gender"":""female"",""percentage"":0.037828},{""age"":""35-44"",""gender"":""female"",""percentage"":0.122172},{""age"":""18-24"",""gender"":""unknown"",""percentage"":7.0e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000841},{""age"":""18-24"",""gender"":""male"",""percentage"":0.016883}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",de
397278939281701,102662476058956,"Hans-Peter Amrein in den Regierungsrat",2023-01-21,2023-01-21,2023-01-30,"Hans-Peter Amrein in den Regierungsrat","Haben Sie genug von nichtssagenden Politiker-Sprüchen? Wählen Sie Hans-Peter Amrein in den Regierungsrat. Er ist offen, ehrlich und direkt! #Regierungsrat #WahlenZH23",,,,"lower_bound: 80000, upper_bound: 89999","lower_bound: 800, upper_bound: 899",CHF,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000688},{""age"":""25-34"",""gender"":""male"",""percentage"":0.160638},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000661},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000523},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000468},{""age"":""18-24"",""gender"":""female"",""percentage"":0.022575},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000936},{""age"":""55-64"",""gender"":""female"",""percentage"":0.063264},{""age"":""18-24"",""gender"":""male"",""percentage"":0.052803},{""age"":""65+"",""gender"":""female"",""percentage"":0.047104},{""age"":""55-64"",""gender"":""male"",""percentage"":0.100677},{""age"":""45-54"",""gender"":""male"",""percentage"":0.121903},{""age"":""25-34"",""gender"":""female"",""percentage"":0.074028},{""age"":""35-44"",""gender"":""male"",""percentage"":0.143734},{""age"":""45-54"",""gender"":""female"",""percentage"":0.073312},{""age"":""65+"",""gender"":""male"",""percentage"":0.056905},{""age"":""35-44"",""gender"":""female"",""percentage"":0.078818},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000964}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",de
1326829374819943,102662476058956,"Hans-Peter Amrein in den Regierungsrat",2023-01-20,2023-01-20,2023-01-27,"Hans-Peter Amrein in den Regierungsrat","Unsinnige Verbote und staatliche Zwängereien zerstören Lebensqualität. Wahlen Sie Hans-Peter Amrein in den Regierungsrat! Er verteidigt die Freiheit, damit es den Menschen gut geht. #Regierungsrat #WahlenZH23",,,,"lower_bound: 25000, upper_bound: 29999","lower_bound: 600, upper_bound: 699",CHF,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00098},{""age"":""55-64"",""gender"":""female"",""percentage"":0.061883},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00085},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001176},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001503},{""age"":""35-44"",""gender"":""female"",""percentage"":0.054891},{""age"":""45-54"",""gender"":""male"",""percentage"":0.103117},{""age"":""65+"",""gender"":""female"",""percentage"":0.072796},{""age"":""25-34"",""gender"":""female"",""percentage"":0.061753},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001764},{""age"":""25-34"",""gender"":""male"",""percentage"":0.116774},{""age"":""45-54"",""gender"":""female"",""percentage"":0.057178},{""age"":""35-44"",""gender"":""male"",""percentage"":0.114749},{""age"":""65+"",""gender"":""male"",""percentage"":0.095145},{""age"":""55-64"",""gender"":""male"",""percentage"":0.103771},{""age"":""18-24"",""gender"":""male"",""percentage"":0.103771},{""age"":""18-24"",""gender"":""female"",""percentage"":0.047507},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000392}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",de
570481494937415,102662476058956,"Hans-Peter Amrein in den Regierungsrat",2023-01-20,2023-01-20,2023-01-28,"Hans-Peter Amrein in den Regierungsrat","Unsinnige Verbote und staatliche Zwängereien zerstören Lebensqualität. Wahlen Sie Hans-Peter Amrein in den Regierungsrat! Er verteidigt die Freiheit, damit es den Menschen gut geht. #Regierungsrat #WahlenZH23",,,,"lower_bound: 50000, upper_bound: 59999","lower_bound: 800, upper_bound: 899",CHF,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000523},{""age"":""35-44"",""gender"":""male"",""percentage"":0.138172},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001942},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001046},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000859},{""age"":""18-24"",""gender"":""female"",""percentage"":0.025774},{""age"":""45-54"",""gender"":""male"",""percentage"":0.120242},{""age"":""25-34"",""gender"":""male"",""percentage"":0.1214},{""age"":""55-64"",""gender"":""female"",""percentage"":0.067274},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001494},{""age"":""65+"",""gender"":""female"",""percentage"":0.064809},{""age"":""35-44"",""gender"":""female"",""percentage"":0.070599},{""age"":""45-54"",""gender"":""female"",""percentage"":0.065407},{""age"":""25-34"",""gender"":""female"",""percentage"":0.053491},{""age"":""55-64"",""gender"":""male"",""percentage"":0.122147},{""age"":""18-24"",""gender"":""male"",""percentage"":0.054014},{""age"":""65+"",""gender"":""male"",""percentage"":0.089724},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001083}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",de
480385140952929,102662476058956,"Hans-Peter Amrein in den Regierungsrat",2023-01-20,2023-01-20,2023-01-27,"Hans-Peter Amrein in den Regierungsrat","Um gute Entscheidungen treffen zu können, müssen Politiker unabhängig sein. Wählen Sie Hans-Peter Amrein als Ihre unabhängige Stimme in den Regierungsrat! #Regierungsrat #WahlenZH23",,,,"lower_bound: 90000, upper_bound: 99999","lower_bound: 800, upper_bound: 899",CHF,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000464},{""age"":""35-44"",""gender"":""female"",""percentage"":0.09433},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000628},{""age"":""45-54"",""gender"":""female"",""percentage"":0.088704},{""age"":""65+"",""gender"":""male"",""percentage"":0.048476},{""age"":""65+"",""gender"":""female"",""percentage"":0.049514},{""age"":""55-64"",""gender"":""male"",""percentage"":0.094303},{""age"":""35-44"",""gender"":""male"",""percentage"":0.138792},{""age"":""25-34"",""gender"":""female"",""percentage"":0.084362},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001065},{""age"":""18-24"",""gender"":""male"",""percentage"":0.038016},{""age"":""18-24"",""gender"":""female"",""percentage"":0.023487},{""age"":""25-34"",""gender"":""male"",""percentage"":0.142861},{""age"":""45-54"",""gender"":""male"",""percentage"":0.118445},{""age"":""55-64"",""gender"":""female"",""percentage"":0.07453},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000328},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001284},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00041}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",de
1448564712342815,102662476058956,"Hans-Peter Amrein in den Regierungsrat",2023-01-19,2023-01-19,2023-01-26,"Hans-Peter Amrein in den Regierungsrat","Fortschritt braucht mutige Köpfe, welche nicht vom Eigeninteresse getrieben sind. Wir brauchen Politiker, die sagen, was Sache ist. Wählen Sie Hans-Peter Amrein in den Regierungsrat! Er ist offen, ehrlich und direkt. #Regierungsrat #WahlenZH23",,,,"lower_bound: 60000, upper_bound: 69999","lower_bound: 700, upper_bound: 799",CHF,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000906},{""age"":""55-64"",""gender"":""male"",""percentage"":0.107341},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003156},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000848},{""age"":""55-64"",""gender"":""female"",""percentage"":0.058273},{""age"":""35-44"",""gender"":""male"",""percentage"":0.143842},{""age"":""65+"",""gender"":""female"",""percentage"":0.053568},{""age"":""35-44"",""gender"":""female"",""percentage"":0.059121},{""age"":""65+"",""gender"":""male"",""percentage"":0.069759},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001403},{""age"":""25-34"",""gender"":""male"",""percentage"":0.197615},{""age"":""45-54"",""gender"":""male"",""percentage"":0.119966},{""age"":""18-24"",""gender"":""female"",""percentage"":0.018353},{""age"":""45-54"",""gender"":""female"",""percentage"":0.059589},{""age"":""18-24"",""gender"":""male"",""percentage"":0.04369},{""age"":""25-34"",""gender"":""female"",""percentage"":0.059326},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001403},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001841}","{""region"":""Z\u00fcrich"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",de
